ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,
261,Lettuce local,"Lettuce, per Kg","Lettuce, local, 5 medium rings, 300-400vt",Market House, ,0,Y,1.5,1.5,4.2,4.5,4.5,5.2,,3.3,3.3,3.3,3.5,,,,,0.35,0.41,0.12,0.12,0.12,0.41,0.38,0.38,0.38,0.38,0.38,3.2,23.55,0.38,,,3.2,0.38,0.38,1.61,4.4,3.6,2.05,1.8,7.35,6.98,,,4.73,5.93,,,
262,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,,,0.478,0.478,0.478,,,,,,,1,,,,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,,,1,1,,,,1,,,
263,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,,,1,,,,,,,
264,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Traverso, ,0,Y,1,1,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,0.896,,,,,0.896,,,,,1,,,,,,,,,,,
265,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Tomato local,"Tomato, local, loose, per Kg","Tomato, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,1,1,1,,1,1,1,,,,,1,,,,,1,,,
267,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, small size",Traverso, ,0,Y,1,1,1,1,,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,,,,,
268,Tomato imported,"Tomato, loose, per Kg","Tomato, local, 10 fruits, big size, 50-60vt",Market House, ,0,Y,2.3,2.3,1.9,1.9,1.9,1.5,,,,,,,,,,1.2,1.6,1.15,1.15,1.15,1.6,1.38,1.38,1.38,1.38,1.38,,1.3,1.38,,,,1.38,1.38,1.28,3.7,4.58,4.2,2.06,4.97,4.38,,2.63,2.96,1.43,3.12,,
269,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,1,,1,1,1,1,1,,1,,
270,Tomato imported,"Tomato, imported, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,1,1,,,,
271,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, big size",Traverso, ,0,Y,1,1,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,,1,1,1,,,,
272,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,,
273,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,,,,,,1,,,1,,,,
274,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Traverso, ,0,Y,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,,
275,Cucumber,"Cucumber, loose, per Kg","Cucumber, local,5medium size, 100vt each",Market House, ,0,Y,2.6,1.4,1.5,1.8,1.8,1.8,1.9,1,1,1,2,,,1.8,1,1.7,2,1.17,1.17,1.17,2,2,2,2,2,2,1.2,10.05,2,1.65,1.65,1.2,2,2,4.02,12.4,1.05,2.45,2.23,1.61,1.85,1.75,1.62,2.12,2.98,4.08,,
276,Beans,"Long beans, loose, per Kg","Long beans, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,0.452,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.96,,,,,,,
277,Beans,"Long beans, loose, per Kg","Long beans, Pkt, local",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,0.378,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
278,Beans,"Long beans, loose, per Kg","Long beans, 1Kg",Traverso, ,0,Y,1,1,1,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,0.34,,,,,,0.444,,
1100,DVD player,"DVD player, name brand, single disc","DVD player, shenger, MPEG 4, photo of Rastaman",9 Ocean shopping centre,0,8,N,1.4,1.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,,
281,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,,1,1,,1,1,,,,
282,Beans,"Dwarf beans, loose, per Kg","Dwarf beans Skyland, 1Kg",Traverso, ,0,Y,1,1,1,1,,1,,1,1,1,1,1,1,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,1,,1,1,1,,,,
283,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, local, 5 plastics for 100-150vt",Market House, ,0,Y,2.1,2.1,2.1,2.4,2.4,1.6,2.9,,,,2.1,,,,,1.1,1.6,1.62,1.62,1.62,1.6,1.6,1.6,1.6,1.6,1.6,2.3,3.2,1.6,1.56,1.56,2.3,1.6,1.6,2.6,,2.9,3.63,5.12,2.66,2.18,4.15,2.68,2.85,3.25,2.41,,
284,Pumpkin,"Pumpkin, per Kg","Pumpkin, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,,,
285,Pumpkin,"Pumpkin, per Kg","Pumpkin, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,1,,,
286,Pumpkin,"Pumpkin, per Kg","Pumpkin, 1Kg",Traverso, ,0,Y,1,1,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,,,
